memory,type,is_cold,exec_time,connection_time,client_time,provider_time
1024,warm,False,1348061,0.056977,1550139,1440
1024,warm,False,1248550,0.075917,1377041,1260
1024,warm,False,1177709,0.085136,1431855,1188
1024,warm,False,1228143,0.082064,1365000,1237
1024,warm,False,1237647,0.074437,1435306,1314
1024,warm,False,1214861,0.082383,1361541,1222
1024,warm,False,1128658,0.065979,1415682,1135
1024,warm,False,1138354,0.05062,1240232,1144
1024,warm,False,1128504,0.075653,1384219,1145
1024,warm,False,1139115,0.073412,1350879,1145
1024,warm,False,1130225,0.080961,1259973,1136
1024,warm,False,1191046,0.078441,1391408,1200
1024,warm,False,1354956,0.069362,1497331,1363
1024,warm,False,1629724,0.094326,1793826,1637
1024,warm,False,1352283,0.09626,1509041,1357
1024,warm,False,1156032,0.075555,1313747,1165
1024,warm,False,1208846,0.089575,1356713,1218
1024,warm,False,1245451,0.080276,1393990,1256
1024,warm,False,1203211,0.101088,1360198,1212
1024,warm,False,1170244,0.080878,1302934,1177
1024,warm,False,1214865,0.075081,1370297,1221
1024,warm,False,1144847,0.062913,1410972,1150
1024,warm,False,5246051,0.070732,5365993,5252
1024,warm,False,1264695,0.087263,1408332,1272
1024,warm,False,1998662,0.081788,2173132,2004
1024,warm,False,1164237,0.074698,1419870,1178
1024,warm,False,1204670,0.096854,1448848,1306
1024,warm,False,1115406,0.125269,1290645,1122
1024,warm,False,1153667,0.075808,1310368,1160
1024,warm,False,1139506,0.093525,1277669,1144
1024,warm,False,1321950,0.070313,1502936,1391
1024,warm,False,1177387,0.076463,1440140,1204
1024,warm,False,1141633,0.105939,1395658,1146
1024,warm,False,1394349,0.07777,1521595,1400
1024,warm,False,1127400,0.070649,1316376,1145
1024,warm,False,1122664,0.076609,1271804,1127
1024,warm,False,1351169,0.107751,1513913,1357
1024,warm,False,1171600,0.06925,1391223,1208
1024,warm,False,1113576,0.098719,1388308,1196
1024,warm,False,1282129,0.102406,1444131,1289
1024,warm,False,1246314,0.09354,1394781,1252
1024,warm,False,1196870,0.089814,1407003,1256
1024,warm,False,1912353,0.090107,2129629,1988
1024,warm,False,1352052,0.086166,1504486,1358
1024,warm,False,1152378,0.082552,1423142,1159
1024,warm,False,1152870,0.101857,1307890,1158
1024,warm,False,1230032,0.080624,1376343,1250
1024,warm,False,1182052,0.089163,1380792,1188
1024,warm,False,1176353,0.09097,1315464,1181
1024,warm,False,1132752,0.08423,1383375,1138
1024,warm,False,1083890,0.086855,1344696,1091
1024,warm,False,1121144,0.104954,1299052,1154
1024,warm,False,1141584,0.073278,1415136,1147
1024,warm,False,1121865,0.090005,1314600,1128
1024,warm,False,1152583,0.106998,1381429,1233
1024,warm,False,1145842,0.090182,1288281,1151
1024,warm,False,1244420,0.07315,1383612,1249
1024,warm,False,1136249,0.069168,1259642,1149
1024,warm,False,1117454,0.085193,1309774,1183
1024,warm,False,1125159,0.09038,1353061,1131
1024,warm,False,1163771,0.064145,1416806,1170
1024,warm,False,1877208,0.081395,2036210,1886
1024,warm,False,1181017,0.060565,1290483,1187
1024,warm,False,1240840,0.080311,1386289,1250
1024,warm,False,1564559,0.080201,1761010,1571
1024,warm,False,1196585,0.088676,1334073,1203
1024,warm,False,1157448,0.091111,1311533,1164
1024,warm,False,1137859,0.063536,1398150,1145
1024,warm,False,1173050,0.074074,1376033,1179
1024,warm,False,1183502,0.092398,1341499,1204
1024,warm,False,1198530,0.067415,1322383,1208
1024,warm,False,1463933,0.094055,1648716,1470
1024,warm,False,1152971,0.069223,1266386,1158
1024,warm,False,1206840,0.074931,1350199,1213
1024,warm,False,1151106,0.076667,1432997,1158
1024,warm,False,1152782,0.08157,1288269,1160
1024,warm,False,1315933,0.107575,1561119,1410
1024,warm,False,1183198,0.083672,1343824,1191
1024,warm,False,1175419,0.111631,1333250,1183
1024,warm,False,1071259,0.085231,1390528,1077
1024,warm,False,1097198,0.073631,1376528,1104
1024,warm,False,1249444,0.075176,1391009,1257
1024,warm,False,1201760,0.089733,1357332,1210
1024,warm,False,1252061,0.079609,1384931,1258
1024,warm,False,1144734,0.078535,1318431,1194
1024,warm,False,1346521,0.059296,1467011,1355
1024,warm,False,1155852,0.084327,1386569,1162
1024,warm,False,1180266,0.066824,1344238,1188
1024,warm,False,1120503,0.087928,1398546,1129
1024,warm,False,1196931,0.104986,1354192,1204
1024,warm,False,1155844,0.079424,1281686,1162
1024,warm,False,2074005,0.074851,2204752,2081
1024,warm,False,1116794,0.093634,1392120,1141
1024,warm,False,1166119,0.0893,1354829,1172
1024,warm,False,1203707,0.113009,1370201,1210
1024,warm,False,1210429,0.108312,1371317,1216
1024,warm,False,2054336,0.085361,2220375,2088
1024,warm,False,1123234,0.10004,1281717,1129
1024,warm,False,1425354,0.083214,1565098,1431
1024,warm,False,1129214,0.076272,1349575,1135
1024,warm,False,1183420,0.091717,1328757,1190
1024,warm,False,1110755,0.096503,1257455,1116
1024,warm,False,1116403,0.092303,1438453,1124
1024,warm,False,1118638,0.089348,1321649,1123
1024,warm,False,1160224,0.096993,1387073,1165
1024,warm,False,1152450,0.064125,1313758,1158
1024,warm,False,1159672,0.105021,1386870,1165
1024,warm,False,1097577,0.08398,1238311,1106
1024,warm,False,1188651,0.086072,1395980,1253
1024,warm,False,1340692,0.089425,1478432,1347
1024,warm,False,1139371,0.086031,1276474,1147
1024,warm,False,1192133,0.069143,1402113,1198
1024,warm,False,1227948,0.058111,1341648,1234
1024,warm,False,1172430,0.078587,1296854,1178
1024,warm,False,1206673,0.100795,1389466,1228
1024,warm,False,1209694,0.066563,1394094,1278
1024,warm,False,1191410,0.067831,1399716,1199
1024,warm,False,1151305,0.097988,1308204,1158
1024,warm,False,1175402,0.094889,1356808,1182
1024,warm,False,7993674,0.066344,8112734,8000
1024,warm,False,1244318,0.089756,1385398,1253
1024,warm,False,1123731,0.095482,1379598,1129
1024,warm,False,1117261,0.102033,1423169,1195
1024,warm,False,1119622,0.115075,1388305,1126
1024,warm,False,1130632,0.099725,1280069,1138
1024,warm,False,1149077,0.097149,1294553,1155
1024,warm,False,1096634,0.063051,1301617,1104
1024,warm,False,1135007,0.106282,1435838,1142
1024,warm,False,1158714,0.105792,1332004,1177
1024,warm,False,1152472,0.088582,1292741,1160
1024,warm,False,1127683,0.08908,1356956,1174
1024,warm,False,1184905,0.097222,1343618,1196
1024,warm,False,1849788,0.088365,1989355,1857
1024,warm,False,1133934,0.105218,1293657,1140
1024,warm,False,1203705,0.059994,1340388,1238
1024,warm,False,1216206,0.087668,1439334,1223
1024,warm,False,1149460,0.084509,1404356,1157
1024,warm,False,1105916,0.066878,1226491,1113
1024,warm,False,1104597,0.091922,1300073,1109
1024,warm,False,1194143,0.08813,1353245,1200
1024,warm,False,1168156,0.09868,1398504,1175
1024,warm,False,1150310,0.085347,1402324,1157
